User ID,Enrollment Date,Subscription Plan,Course Completion Rate,Courses Enrolled,Login Frequency (per month),Time Spent per Session (mins),Last Active Date,Forum Participation,Quiz Participation Rate,Assignment Submission Rate,Video Watch Completion Rate,Survey Response (1-5),Feedback Sentiment,Support Ticket Sentiment,Incomplete Courses Count,Engagement_inper,churn,Course Reminder Response,Gamified Progress Engagement,AI Recommendation Click Rate
U0028,05-04-2023,Standard,72.33,8,27,19.4,18-07-2023,41,7.54,84.04,54.13,4,Positive,N/A,3,0.43,0,Clicked,Inactive,69.89
U0029,10-11-2022,Standard,48.34,9,13,115.8,28-05-2023,23,25.04,70.13,32.39,4,Neutral,Positive,1,88.54,0,Clicked,Inactive,80.14
U0030,22-01-2022,Standard,62.04,7,23,17.4,02-05-2022,17,66.93,78.9,13.63,2,Positive,Negative,3,6.65,0,Not Clicked,Active,72.1
U0031,10-09-2022,Premium,58.53,5,14,60,23-05-2023,26,88.83,35.1,88.76,5,Positive,N/A,0,95.3,0,Not Clicked,Active,69.98
U0032,15-07-2023,Standard,34.15,8,8,72.3,16-05-2024,40,45.99,40.47,47.08,1,Positive,Neutral,2,28.18,1,Not Clicked,Active,95.86
U0033,20-04-2023,Standard,50.97,4,8,67.3,02-07-2023,7,60.7,39.37,87.81,1,Positive,Neutral,3,38.2,0,Not Clicked,Inactive,59.65
U0034,28-02-2022,Standard,97.11,2,27,14.9,17-08-2022,27,18.85,19.19,58.59,2,Negative,Neutral,0,9.16,0,Clicked,Inactive,63.63
U0035,26-05-2023,Standard,39.89,6,26,11.6,15-10-2023,9,80.5,6.12,67.42,2,Negative,Positive,1,11.23,0,Not Clicked,Active,84.93
U0036,13-11-2023,Basic,30.7,9,15,17.1,26-04-2024,16,96.73,59.09,80.43,4,Neutral,Neutral,2,72.67,0,Not Clicked,Active,66.99
U0037,21-04-2023,Basic,53.49,1,27,72.3,06-01-2024,28,26.86,98.92,65.92,5,Positive,N/A,4,94.43,0,Not Clicked,Inactive,73.29
U0038,01-12-2023,Standard,83.23,7,13,67.6,08-07-2024,5,49.48,16.68,39.81,5,Positive,N/A,0,61.07,0,Not Clicked,Inactive,23.42
U0039,09-07-2022,Basic,66.57,9,7,31.9,29-09-2022,13,8.61,4.67,51.36,3,Neutral,N/A,4,71.59,0,Not Clicked,Active,37.13
U0040,18-11-2023,Basic,74.48,9,5,78.3,17-05-2024,21,55.91,77.95,80.3,3,Negative,Neutral,2,76.2,0,Clicked,Inactive,14.73
U0041,17-07-2023,Standard,35.18,3,17,99.3,18-05-2024,5,50.28,25.26,37.37,1,Positive,N/A,0,26.28,0,Not Clicked,Inactive,50.58
U0042,21-07-2023,Standard,69.52,5,28,9.8,30-07-2023,25,14.44,82.96,38.81,3,Neutral,N/A,0,4.52,1,Not Clicked,Active,45.57
U0043,01-09-2022,Basic,45.88,8,25,62.3,04-09-2022,38,44.21,70.39,9.57,3,Negative,Neutral,2,0.19,0,Not Clicked,Active,99.72
U0044,20-05-2023,Standard,86.74,8,29,84.3,04-05-2024,11,33.41,94.57,91.46,1,Neutral,Positive,1,35.06,0,Clicked,Active,61.12
U0045,11-05-2022,Standard,70.34,4,16,34,11-04-2023,34,52.18,40.89,9.1,1,Positive,Neutral,0,24.15,1,Not Clicked,Active,78.64
U0046,30-04-2023,Basic,35.91,1,23,40.4,15-02-2024,13,58.57,66.2,64.82,3,Positive,N/A,2,6.23,1,Not Clicked,Active,33.4
U0047,09-10-2023,Premium,25.17,1,2,75.6,15-07-2024,21,0.85,46.49,41.32,5,Positive,Neutral,3,17.95,1,Clicked,Active,83.15
U0048,21-01-2022,Standard,23.41,4,22,108.3,23-08-2022,22,76.1,63.06,40.56,3,Positive,N/A,4,12.45,0,Not Clicked,Active,61.51
U0049,16-06-2022,Standard,49.71,6,18,98.1,21-09-2022,47,71.3,44.96,67.96,4,Positive,Positive,0,91.49,1,Clicked,Active,69.7
U0050,01-10-2022,Standard,41.27,8,17,72.1,09-01-2023,6,36.63,18.86,6.71,4,Positive,N/A,3,14.03,0,Clicked,Active,29.44
U0051,23-01-2023,Premium,71.69,6,7,89,31-01-2023,39,5.29,50.79,59.37,4,Neutral,Neutral,0,53.76,0,Clicked,Active,54.86
U0052,24-08-2023,Standard,59.95,9,13,47,23-10-2023,49,75.49,52.86,77.2,2,Positive,Negative,1,59.31,0,Not Clicked,Inactive,63.4
U0053,12-11-2022,Standard,41.28,9,18,78.7,16-09-2023,24,95.52,81.06,82.82,4,Positive,Positive,2,54.35,1,Clicked,Inactive,58.91
U0054,14-01-2022,Standard,31.94,2,29,58.6,08-06-2022,12,24.02,73.55,17.05,5,Neutral,Positive,0,9.91,0,Clicked,Active,91.52
U0055,30-08-2022,Basic,30.18,1,14,26.8,31-10-2022,20,32.35,66.38,89.74,2,Neutral,N/A,2,31.88,0,Clicked,Active,89.83
U0056,12-12-2022,Basic,89.17,2,18,85.7,11-04-2023,40,18.38,11.34,65.61,2,Neutral,N/A,0,5.13,0,Clicked,Inactive,97.1
U0057,19-07-2023,Standard,39.48,5,13,69,29-02-2024,9,57.69,72.06,88.19,4,Positive,Neutral,1,39.57,0,Clicked,Active,66.74
U0058,06-12-2022,Standard,72.14,4,11,46.2,20-03-2023,8,15.48,50.03,48.53,3,Neutral,Positive,1,18.86,1,Clicked,Inactive,97.19
U0059,02-04-2022,Standard,84.85,4,21,109.8,17-12-2022,14,35.62,89.41,54.2,1,Positive,Neutral,3,56.16,0,Not Clicked,Active,83.25
U0060,02-01-2023,Basic,69.13,9,21,7.4,16-12-2023,1,69.7,91.99,91.9,3,Positive,Positive,1,69.28,0,Not Clicked,Inactive,27.08
U0061,31-03-2023,Standard,88.77,8,16,41.3,10-12-2023,24,56.01,5.52,89.99,3,Neutral,Positive,2,53.21,1,Clicked,Active,42.74
U0062,04-03-2023,Basic,51.39,6,23,11.5,26-09-2023,12,38.65,82.06,44.82,2,Positive,N/A,1,43.42,0,Clicked,Inactive,23.84
U0063,24-05-2023,Standard,96.5,1,17,93.2,20-06-2023,33,42.02,3.77,27.44,2,Positive,N/A,0,38.73,0,Not Clicked,Inactive,0.42
U0064,04-02-2022,Standard,30.65,2,8,85.7,23-07-2022,33,56.21,36.72,39.32,2,Positive,Positive,1,84.17,1,Clicked,Inactive,18.8
U0065,25-07-2022,Standard,28.17,6,19,43.1,25-06-2023,34,0.59,54.23,38.78,5,Positive,Neutral,2,21.94,1,Not Clicked,Inactive,0.41
U0066,22-03-2022,Standard,72.7,2,20,82.7,05-06-2022,37,7.85,14.81,28.69,5,Positive,Positive,0,73.42,1,Not Clicked,Active,71.98
U0067,16-07-2023,Standard,95.43,5,15,50.5,08-11-2023,2,88.13,74.63,26.86,1,Neutral,Positive,3,75.75,0,Clicked,Active,42.55
U0068,23-01-2023,Standard,84.71,5,9,92,01-04-2023,41,7.79,0.84,86.11,2,Positive,Positive,3,41.92,0,Clicked,Active,31.26
U0069,02-01-2022,Standard,26.11,6,20,57.2,21-12-2022,5,70.68,16.86,6.99,4,Negative,Neutral,3,29.73,0,Not Clicked,Active,76.17
U0070,25-01-2023,Basic,42.35,6,10,52.4,15-09-2023,47,92,58.08,67.76,2,Positive,Positive,0,47.05,0,Clicked,Active,83.25
U0071,20-07-2023,Standard,94.43,6,12,112.5,20-07-2023,48,27.07,71.44,17.28,5,Positive,Neutral,3,9.32,0,Clicked,Inactive,97.53
U0072,16-04-2022,Standard,40.24,2,21,33.9,29-09-2022,18,37.05,91.66,34.45,2,Positive,Positive,1,4.59,0,Clicked,Inactive,64.2
U0073,22-04-2023,Standard,82.49,3,23,18.9,07-04-2024,2,56.89,70.55,6.15,5,Positive,Positive,0,11.16,1,Not Clicked,Active,46.15
U0074,04-12-2023,Standard,86.01,6,20,72.2,08-07-2024,17,88.17,67.18,27,2,Neutral,Positive,0,18.71,0,Not Clicked,Active,30.53
U0075,06-02-2023,Premium,59.64,8,1,116.5,05-11-2023,38,94.19,39.43,76.84,4,Positive,N/A,0,50.42,0,Clicked,Active,22.23
U0076,31-12-2023,Premium,50.91,1,25,48.5,06-09-2024,8,73.96,0.13,88.5,1,Positive,N/A,4,84.91,0,Not Clicked,Inactive,21.29
U0077,10-07-2023,Basic,56.01,1,20,12.1,20-06-2024,11,8.66,12.02,22.15,4,Neutral,N/A,2,23.56,0,Clicked,Active,40.92
U0078,11-06-2022,Basic,38.16,2,9,44,20-05-2023,4,66.92,53.46,46.35,5,Positive,Neutral,4,93.52,1,Not Clicked,Inactive,99.18
U0079,21-07-2022,Standard,91.15,6,22,63.2,10-01-2023,2,41.03,67.51,47.03,3,Neutral,Neutral,4,95.49,0,Clicked,Inactive,0.09
U0080,27-09-2022,Basic,56.05,9,15,23.6,15-03-2023,10,47.07,41.74,87.36,4,Neutral,Neutral,4,95.89,0,Not Clicked,Inactive,19.72
U0081,28-09-2022,Standard,90.6,4,1,80.7,31-05-2023,29,4.91,73.07,76.28,2,Positive,Positive,2,83.76,0,Not Clicked,Active,18.84
U0082,01-04-2023,Premium,28.46,3,12,119.7,29-06-2023,3,19.11,52.19,51.31,1,Positive,N/A,4,36.38,0,Clicked,Active,71.71
U0083,07-04-2023,Basic,99.06,8,3,57,25-05-2023,4,79.05,7.42,67.07,2,Positive,Neutral,3,7.27,0,Clicked,Inactive,35.25
U0084,28-12-2023,Basic,55.46,9,11,45.8,16-10-2024,0,45.4,19.2,84.74,2,Neutral,Neutral,0,56.88,1,Clicked,Inactive,45.73
U0085,09-09-2022,Basic,23.83,5,2,51.1,05-02-2023,26,30.17,84,0.95,4,Positive,Neutral,0,55.87,0,Clicked,Inactive,14.86
U0086,03-12-2023,Standard,23.04,9,16,18.2,12-04-2024,27,38.4,72.49,40.29,1,Positive,Neutral,1,85,0,Clicked,Active,40.5
U0087,23-10-2022,Standard,79.7,2,9,106.6,20-12-2022,28,85.44,89.48,90.72,3,Positive,N/A,3,99.6,0,Not Clicked,Inactive,10.32
U0088,26-12-2023,Basic,72.72,3,15,52.7,13-11-2024,17,74.9,11.76,74.03,2,Positive,Neutral,2,50.82,1,Not Clicked,Active,53.3
U0089,21-12-2023,Premium,84.17,7,12,49.5,06-07-2024,11,27.23,99.02,54.28,1,Positive,Negative,0,34.52,1,Clicked,Inactive,9.79
U0090,04-12-2022,Standard,28.43,7,1,80.9,06-07-2023,12,11.75,20.94,52.96,3,Neutral,Neutral,4,18.59,0,Not Clicked,Inactive,79.05
U0091,22-02-2022,Basic,22.85,6,13,55.8,11-04-2022,40,25.2,1.18,34.78,2,Positive,N/A,1,0.48,0,Not Clicked,Inactive,56.66
U0092,05-08-2022,Standard,60.69,6,14,79.5,24-03-2023,1,92.08,99.74,52.05,1,Negative,Neutral,1,50.91,1,Not Clicked,Inactive,72.4
U0093,07-07-2022,Standard,51.01,2,25,12.1,10-03-2023,36,58.16,28.11,65.54,4,Neutral,Negative,0,55.55,1,Clicked,Active,41.85
U0094,15-01-2023,Basic,56.96,6,25,98.6,10-09-2023,44,53.35,66.8,41.84,2,Positive,Positive,3,82.49,1,Clicked,Inactive,38.15
U0095,08-05-2023,Basic,99.33,4,8,113.2,22-10-2023,15,59.64,17.67,71.42,2,Positive,N/A,1,50.46,1,Clicked,Inactive,9.82
U0096,10-02-2022,Basic,97.66,3,8,79.6,29-03-2022,47,36.6,58.02,86.12,1,Positive,Positive,0,91.65,0,Clicked,Active,52.39
U0097,06-06-2022,Basic,95.39,2,27,114.8,26-07-2022,23,80.71,90.4,15.47,2,Neutral,Neutral,3,62.81,0,Not Clicked,Inactive,51.45
U0098,15-01-2022,Premium,82.71,1,12,22.4,09-11-2022,34,52.33,32.02,45.15,3,Positive,N/A,0,84.03,1,Not Clicked,Active,46.81
U0099,06-03-2022,Premium,48.39,5,1,59.9,11-06-2022,21,11.67,67.03,40.8,2,Negative,N/A,0,14.83,1,Clicked,Inactive,74.05
U0100,05-06-2023,Basic,52.97,2,11,74.2,06-01-2024,35,12.91,18.79,68.75,5,Neutral,Neutral,3,85.53,0,Clicked,Active,83.25
U0101,10-12-2022,Basic,63.97,2,8,71.9,04-06-2023,10,53.69,62.48,24.99,3,Positive,N/A,3,67.51,0,Not Clicked,Inactive,75.08
U0102,09-05-2022,Basic,86.44,7,10,51.2,27-07-2022,45,93.66,33.65,64.03,1,Neutral,Positive,3,17.02,1,Not Clicked,Active,14.39
U0103,10-10-2023,Basic,25.5,8,19,43.9,11-04-2024,28,30.84,21.12,87.75,3,Positive,N/A,0,18.98,0,Not Clicked,Active,62.21
U0104,17-04-2023,Premium,53.94,8,11,19.6,13-05-2023,34,86.95,31.32,41.81,5,Neutral,Negative,1,92.65,1,Clicked,Active,8.03
U0105,04-03-2022,Basic,26.61,4,7,50.1,14-09-2022,47,76.41,17.88,91.1,5,Positive,Neutral,2,3.22,0,Not Clicked,Active,69.46
U0106,19-05-2022,Basic,61.17,1,11,23.7,18-12-2022,14,24.78,90.19,99.32,2,Positive,N/A,2,46.25,0,Not Clicked,Inactive,38.18
U0107,14-05-2023,Basic,91.91,7,17,89.5,19-04-2024,30,3.63,39.72,10.61,2,Positive,N/A,0,31.35,0,Not Clicked,Active,13.25
U0108,16-08-2023,Standard,82.6,1,1,29,07-12-2023,41,10.18,24.53,23.31,4,Neutral,Positive,0,66.51,0,Clicked,Inactive,86.21
U0109,27-01-2023,Basic,38.23,4,26,11.7,25-09-2023,40,72.85,44.84,95.04,3,Positive,N/A,1,83.96,0,Clicked,Inactive,61.4
U0110,06-11-2023,Standard,98.08,8,29,68.5,08-03-2024,42,19.97,32.05,95.83,4,Negative,Positive,3,36.04,0,Clicked,Inactive,35.47
U0111,23-02-2023,Basic,73.39,2,21,73.5,24-12-2023,15,37.13,74.44,9.77,5,Positive,N/A,0,42.69,1,Not Clicked,Inactive,3.07
U0112,16-10-2022,Standard,20.83,6,21,105.3,30-12-2022,9,50.17,97.12,1.5,2,Positive,Negative,4,98.19,1,Not Clicked,Active,53.73
U0113,14-01-2023,Standard,40.43,6,8,71.4,20-11-2023,48,72.55,43.8,16.11,2,Positive,Positive,3,78.39,0,Not Clicked,Active,92.32
U0114,05-05-2023,Basic,40.86,9,23,44.7,11-03-2024,31,11.32,86.1,99.6,2,Positive,Negative,0,89.72,0,Not Clicked,Active,59.64
U0115,19-08-2022,Standard,25.54,5,24,97.3,02-03-2023,1,40.64,56.59,18,1,Positive,Neutral,4,43.88,0,Clicked,Active,97.17
U0116,10-02-2022,Premium,96.79,4,6,67.1,26-01-2023,23,48.51,15.72,50.25,5,Positive,Neutral,1,23.41,0,Clicked,Inactive,13.65
U0117,28-01-2022,Premium,58.26,5,22,14.1,12-03-2022,22,54.08,69.06,84.84,2,Neutral,Positive,4,41.19,0,Clicked,Active,56.83
U0118,15-05-2022,Standard,91.67,5,18,70.1,16-11-2022,1,81.84,51.34,2.04,5,Positive,Positive,0,71.61,0,Clicked,Inactive,79.81
U0119,20-07-2022,Standard,45.78,8,6,109.4,27-06-2023,37,17.17,65.06,60.45,2,Positive,N/A,2,10.94,0,Not Clicked,Active,52.55
U0120,02-02-2022,Premium,30.02,8,5,50.6,05-10-2022,30,80.78,88.97,27.7,3,Positive,Positive,0,27.05,0,Not Clicked,Inactive,9.11
U0121,17-02-2022,Standard,57.95,2,13,39.1,11-05-2022,39,69.29,44.04,86.23,5,Neutral,Neutral,2,4.66,0,Clicked,Active,58.29
U0122,18-05-2023,Basic,29.12,7,19,21.5,10-12-2023,25,55.59,90.12,28.35,4,Positive,Negative,1,43.23,1,Not Clicked,Active,61.17
U0123,11-02-2023,Premium,58.88,8,22,22.4,11-07-2023,28,69.95,75.07,68.68,1,Positive,Positive,1,82.74,0,Not Clicked,Inactive,72.87
U0124,28-07-2023,Basic,93.62,6,8,54.8,30-12-2023,2,41.2,48.86,67.42,4,Positive,Neutral,3,2.47,1,Clicked,Active,76.12
U0125,29-12-2023,Standard,61.66,5,9,73.5,13-01-2024,13,13.84,60.32,22.15,5,Neutral,Neutral,3,67.53,1,Clicked,Inactive,77.08
U0126,09-04-2022,Basic,69.32,9,17,14.3,20-09-2022,24,66.58,32.56,3.48,2,Neutral,Negative,2,93.25,1,Clicked,Active,66.34
U0127,15-11-2023,Basic,32.53,3,3,113.1,07-04-2024,47,52.47,98.36,40.92,5,Positive,Neutral,2,23.69,1,Clicked,Active,21.58
U0128,27-12-2023,Basic,23.5,4,19,91.8,01-02-2024,0,63.94,66.74,28.92,1,Positive,Neutral,1,69.36,0,Not Clicked,Inactive,40.42
U0129,01-07-2023,Standard,28.86,9,11,72.5,28-05-2024,2,33.8,4.38,80.9,5,Neutral,Neutral,4,97.51,0,Clicked,Active,77.61
U0130,05-09-2023,Basic,67.88,6,24,100.3,19-10-2023,25,90.69,32.66,80.04,2,Negative,N/A,2,96.23,0,Clicked,Inactive,95.34
U0131,07-04-2023,Basic,27.6,8,17,14.2,29-10-2023,17,58.74,62.33,45.7,4,Neutral,Positive,2,23.49,1,Not Clicked,Active,7.89
U0132,05-10-2023,Basic,50.08,7,21,59.8,05-12-2023,8,8.54,5.63,60.65,3,Negative,N/A,4,10.03,1,Not Clicked,Inactive,53.55
U0133,05-01-2022,Standard,64.01,2,19,77.5,26-12-2022,37,44.98,2.39,60.43,4,Neutral,Negative,3,14.83,1,Clicked,Active,31.25
U0134,06-08-2022,Premium,51.09,3,2,100.3,09-06-2023,22,75.64,45,82.72,2,Neutral,N/A,3,70.2,0,Not Clicked,Active,22.54
U0135,18-05-2023,Standard,33.09,1,8,95.1,05-06-2023,20,79.41,33.27,42.5,2,Positive,Neutral,2,72.58,1,Clicked,Active,50.58
U0136,02-02-2023,Standard,41.9,9,19,36.9,01-02-2024,0,49.46,43.83,27.54,1,Positive,Neutral,3,67.42,0,Clicked,Active,60.61
U0137,28-01-2023,Premium,94.27,7,7,113.2,23-11-2023,20,89.47,26.27,26.5,5,Positive,N/A,3,33.61,0,Not Clicked,Active,0.98
U0138,26-07-2022,Standard,74.08,1,28,19.3,01-08-2022,26,26.77,16.47,53.62,5,Neutral,Positive,3,16.98,1,Clicked,Inactive,78.02
U0139,15-01-2022,Basic,59.68,3,27,105.6,20-09-2022,41,41.06,68.91,44.91,4,Negative,Positive,1,58.08,0,Not Clicked,Inactive,81.99
U0140,08-07-2023,Basic,21.02,4,17,116.7,01-11-2023,5,89.86,51.46,44.01,3,Neutral,Positive,0,48.37,1,Clicked,Active,96.55
U0141,06-04-2023,Basic,99.39,4,6,25.4,12-06-2023,43,89.63,20.02,9.11,3,Positive,N/A,2,72.88,0,Clicked,Active,18.06
U0142,22-11-2023,Basic,73.72,5,19,88,25-12-2023,35,68.57,31.96,71.86,1,Positive,Negative,2,44.14,1,Not Clicked,Active,59.46
U0143,29-07-2023,Standard,45.35,3,24,9.6,07-02-2024,27,85.9,59.18,21.37,2,Positive,Neutral,1,33.86,0,Clicked,Active,42.66
U0144,29-08-2022,Standard,90.34,3,6,51.6,19-07-2023,44,8.88,7.22,19.7,1,Positive,N/A,0,29.35,1,Not Clicked,Active,33.48
U0145,18-07-2023,Basic,40.67,1,28,64.4,10-09-2023,16,86.5,14.75,41.28,5,Neutral,Neutral,0,21.15,1,Not Clicked,Active,56.56
U0146,06-04-2022,Standard,63.52,7,2,71.8,27-12-2022,39,32.06,7.32,22.78,2,Negative,N/A,1,26.57,1,Not Clicked,Inactive,78.24
U0147,30-04-2023,Standard,70.89,1,6,112.6,10-06-2023,2,17.83,81.23,58.39,1,Positive,Neutral,4,9.48,0,Not Clicked,Inactive,2.31
U0148,11-02-2023,Basic,37.69,2,23,82.3,04-12-2023,11,23.94,75.24,37.15,4,Positive,N/A,4,34.69,1,Clicked,Active,96.94
U0149,19-08-2022,Premium,98.27,4,5,60.3,06-04-2023,38,41.8,75.33,44.89,5,Neutral,Positive,0,3.66,0,Not Clicked,Active,80.99
U0150,17-10-2023,Standard,79.86,4,19,98.1,26-10-2023,11,25.12,71.63,53.72,3,Positive,Positive,4,18.64,0,Not Clicked,Inactive,75.12
U0151,20-06-2022,Basic,64.63,5,20,114.3,12-06-2023,1,32.06,66.94,20.35,1,Neutral,Neutral,4,74.68,0,Not Clicked,Active,76.04
U0152,25-06-2023,Standard,34.45,2,4,7.5,30-10-2023,45,13.5,47.7,15.58,5,Positive,Neutral,4,32.55,1,Not Clicked,Inactive,38.91
U0153,05-02-2022,Standard,24.31,4,22,118,02-08-2022,21,29.62,64.23,88.04,5,Positive,Negative,0,66.82,0,Not Clicked,Inactive,75.16
U0154,09-06-2023,Standard,45.6,1,26,14.9,18-12-2023,22,57.23,3.84,43.37,3,Positive,Neutral,4,71.69,1,Clicked,Active,38.68
U0155,09-06-2022,Standard,80.25,2,17,98.7,08-09-2022,29,44.19,62.15,41.21,3,Positive,Positive,2,58.12,1,Not Clicked,Active,89.87
U0156,30-11-2023,Standard,41.55,1,11,37.2,17-07-2024,4,34.67,77.79,3.56,3,Positive,Neutral,0,95.87,0,Clicked,Inactive,17.72
U0157,31-08-2022,Standard,63.16,4,4,20.2,16-11-2022,8,74.65,50.04,49.8,1,Positive,Neutral,1,2.14,1,Clicked,Inactive,29.23
U0158,27-03-2022,Basic,78.24,4,26,55.6,19-06-2022,20,89.35,35.75,55.42,3,Positive,Positive,4,73.87,0,Not Clicked,Active,55.13
U0159,01-08-2023,Basic,28.64,7,13,79.1,30-08-2023,10,75.68,27.74,55.88,4,Positive,Neutral,3,95.88,1,Clicked,Inactive,31.92
U0160,13-11-2023,Basic,74.82,9,20,48.8,12-06-2024,4,33.2,64.28,70.7,5,Positive,Neutral,0,86.23,0,Clicked,Active,42.42
U0161,11-07-2023,Standard,27.35,9,26,11.3,28-08-2023,34,74.44,69.28,17.75,3,Positive,Neutral,1,16.79,0,Clicked,Active,49.24
U0162,28-07-2023,Basic,97.21,5,17,73.9,17-04-2024,26,15.2,87.1,25.22,5,Positive,Positive,2,32.68,0,Not Clicked,Inactive,85.64
U0163,08-10-2023,Premium,59.07,1,9,108.8,29-02-2024,48,13.03,34.23,81.07,2,Neutral,N/A,1,17.25,0,Clicked,Inactive,52.32
U0164,28-01-2022,Standard,32.05,1,4,49.1,06-04-2022,1,34.56,76.98,94.72,2,Negative,Negative,4,60.13,0,Not Clicked,Inactive,36.25
U0165,12-09-2023,Premium,47.39,6,23,29.9,08-11-2023,23,80.77,56.14,13.59,3,Positive,Positive,3,71.22,0,Clicked,Inactive,24.77
U0166,10-07-2023,Premium,53.07,2,28,55.9,10-01-2024,30,24.63,88.28,49.76,5,Positive,Negative,4,31.71,0,Clicked,Active,40.87
U0167,06-12-2022,Premium,80.65,8,14,10.6,05-02-2023,32,6.33,52.78,21.42,2,Positive,N/A,1,53.95,0,Clicked,Active,51.57
U0168,27-11-2022,Premium,79.47,9,19,99.4,30-09-2023,38,13.17,51.76,6.01,3,Positive,Neutral,0,69.09,0,Not Clicked,Active,74.61
U0169,02-10-2023,Standard,68.96,4,26,100,23-07-2024,29,85.87,57.79,32.55,5,Neutral,N/A,3,42.13,1,Clicked,Active,12.1
